lea_no,lea_name,school_no,school_name,eligible,participating,isp
50,Ashe County Schools,305,Ashe County Middle,, ,37.2
50,Ashe County Schools,310,Blue Ridge Elementary,X, ,41.7
50,Ashe County Schools,330,Mountain View Elementary,X, ,47.16
50,Ashe County Schools,335,Westwood Elementary,, ,37.43
60,Avery County Schools,302,Avery County High,, ,31.72
60,Avery County Schools,304,Banner Elk Elementary,, ,29.38
60,Avery County Schools,310,Cranberry Middle,, ,32.22
60,Avery County Schools,316,Crossnore Elementary,, ,25.79
60,Avery County Schools,318,Avery Middle,, ,32.26
60,Avery County Schools,322,Freedom Trail Elementary,, ,38.43
60,Avery County Schools,328,Newland Elementary,X, ,44.7
60,Avery County Schools,332,Riverside Elementary,X, ,41.6
70,Beaufort County Schools,302,Eastern Elementary,X,X,72.19
70,Beaufort County Schools,308,Bath Elementary,, ,32.77
70,Beaufort County Schools,310,B C Ed Tech Center,X,X,85.54
70,Beaufort County Schools,311,Beaufort County Early College High School,, ,38.6
70,Beaufort County Schools,325,Chocowinity Middle,X, ,64.75
70,Beaufort County Schools,326,Chocowinity Primary,X,X,68.69
70,Beaufort County Schools,327,John C Tayloe Elementary,X,X,71.22
70,Beaufort County Schools,328,John Small Elementary,X,X,64.01
70,Beaufort County Schools,329,Northeast Elementary,X, ,61.67
70,Beaufort County Schools,330,Northside High,, ,35.1
70,Beaufort County Schools,338,P S Jones Middle,X, ,64.49
70,Beaufort County Schools,339,Southside High,X, ,63.6
70,Beaufort County Schools,340,S W Snowden Elementary,X,X,88.33
70,Beaufort County Schools,342,Washington High,X, ,57.3
80,Bertie County Schools,311,Bertie Early College,X,X,54.86
80,Bertie County Schools,312,Bertie High,X,X,81.11
80,Bertie County Schools,314,Bertie Middle School,X,X,77.08
80,Bertie County Schools,348,Aulander Elementary,X,X,81.94
80,Bertie County Schools,356,West Bertie Elementary,X,X,84.29
80,Bertie County Schools,360,Colerain Elementary,X,X,84.98
80,Bertie County Schools,362,Windsor Elementary,X,X,73.87
90,Bladen County Schools,304,B T Washington Primary,X,X,91.71
90,Bladen County Schools,315,Bladenboro Middle,X,X,64.76
90,Bladen County Schools,317,Bladenboro Primary,X,X,74.34
90,Bladen County Schools,318,Bladen Lakes Primary,X,X,69.74
90,Bladen County Schools,320,Clarkton Sch of Discovery,X,X,58.67
90,Bladen County Schools,324,Dublin Primary,X,X,67.32
90,Bladen County Schools,328,East Arcadia Elementary,X,X,80.95
90,Bladen County Schools,330,East Bladen High,X,X,64.36
90,Bladen County Schools,332,Elizabethtown Middle,X,X,68.11
90,Bladen County Schools,333,Elizabethtown Primary,X,X,72.36
90,Bladen County Schools,352,Plain View Primary,X,X,78.82
90,Bladen County Schools,365,Tar Heel Middle,X,X,70.27
90,Bladen County Schools,368,West Bladen High,X,X,63.51
100,Brunswick County Schools,302,Belville Elementary,, ,38.03
100,Brunswick County Schools,304,Bolivia Elementary,X, ,48.89
100,Brunswick County Schools,307,Brunswick Early College,, ,22.38
100,Brunswick County Schools,308,Brunswick County Academy,X, ,71.82
100,Brunswick County Schools,309,Cedar Grove Middle School,X, ,51.22
100,Brunswick County Schools,310,Jessie Mae Monroe Elementary,X, ,54.85
100,Brunswick County Schools,316,Leland Middle,X, ,43.32
100,Brunswick County Schools,320,Lincoln Elementary,X, ,63.04
100,Brunswick County Schools,326,North Brunswick High,, ,35.46
100,Brunswick County Schools,332,Shallotte Middle,X, ,43.77
100,Brunswick County Schools,334,South Brunswick High,, ,32.98
100,Brunswick County Schools,335,South Brunswick Middle,, ,36.45
100,Brunswick County Schools,336,Southport Elementary,, ,37.64
100,Brunswick County Schools,338,Supply Elementary,X, ,69.42
100,Brunswick County Schools,339,Town Creek Elementary School,X, ,41.09
100,Brunswick County Schools,340,Union Elementary,X, ,50.41
100,Brunswick County Schools,342,Virginia Williamson Elem,X, ,57.12
100,Brunswick County Schools,344,Waccamaw Elementary,X, ,53.42
100,Brunswick County Schools,348,West Brunswick High,, ,38.91
110,Buncombe County Schools,303,Community High School,X, ,69.39
110,Buncombe County Schools,304,A C Reynolds High,, ,20.59
110,Buncombe County Schools,306,A C Reynolds Middle,, ,33.72
110,Buncombe County Schools,308,Barnardsville Elementary,X, ,47.97
110,Buncombe County Schools,318,Black Mountain Elementary,, ,28.96
110,Buncombe County Schools,320,Black Mountain Primary,, ,36.32
110,Buncombe County Schools,322,Buncombe County Early College,, ,21.47
110,Buncombe County Schools,324,Candler Elementary,X, ,52.85
110,Buncombe County Schools,326,Cane Creek Middle,, ,18.97
110,Buncombe County Schools,332,Charles C Bell Elementary,, ,27.72
110,Buncombe County Schools,336,Charles D Owen High,, ,26.15
110,Buncombe County Schools,338,Charles D Owen Middle,, ,32.96
110,Buncombe County Schools,340,Clyde A Erwin High,, ,36.48
110,Buncombe County Schools,342,Clyde A Erwin Middle,, ,39.38
110,Buncombe County Schools,348,Emma Elementary,X,X,52.34
110,Buncombe County Schools,352,Enka High,, ,28.22
110,Buncombe County Schools,356,Fairview Elementary,, ,28.01
110,Buncombe County Schools,366,Glen Arden Elementary,, ,24.11
110,Buncombe County Schools,368,Haw Creek Elementary,, ,31.73
110,Buncombe County Schools,370,Hominy Valley Elementary,, ,35.28
110,Buncombe County Schools,372,Johnston Elementary,X,X,65.85
110,Buncombe County Schools,376,Leicester Elementary,X, ,51.42
110,Buncombe County Schools,379,North Buncombe Elementary,, ,38.36
110,Buncombe County Schools,380,North Buncombe High,, ,21.6
110,Buncombe County Schools,381,North Buncombe Middle,, ,28.04
110,Buncombe County Schools,382,North Windy Ridge,, ,33.45
110,Buncombe County Schools,384,Oakley Elementary,X, ,56.29
110,Buncombe County Schools,388,Pisgah Elementary,X, ,47.95
110,Buncombe County Schools,401,Enka Middle,X, ,40.27
110,Buncombe County Schools,408,Sand Hill-Venable Elem,X, ,48.96
110,Buncombe County Schools,410,Avery's Creek Elementary,X, ,41.58
110,Buncombe County Schools,412,W D Williams Elementary,X, ,46.21
110,Buncombe County Schools,416,T C Roberson High,, ,21.13
110,Buncombe County Schools,420,Valley Springs Middle,, ,27.02
110,Buncombe County Schools,422,William W Estes Elementary,, ,34.01
110,Buncombe County Schools,425,Enka Intermediate School,, ,38.77
110,Buncombe County Schools,428,Weaverville Elementary,, ,24.72
110,Buncombe County Schools,432,Weaverville Primary,, ,30.49
110,Buncombe County Schools,436,West Buncombe Elementary,, ,39.2
110,Buncombe County Schools,444,Woodfin Elementary,X,X,46.85
110,Buncombe County Schools,450,Charles T. Koontz Intermediate,, ,29.62
110,Buncombe County Schools,451,Joe P. Eblen Intermediate,X, ,45.71
110,Buncombe County Schools,500,Nesbitt Discovery Academy,, ,11.26
111,Asheville City Schools,302,Asheville High,, ,26.63
111,Asheville City Schools,304,Hall Fletcher Elementary,X, ,49.3
111,Asheville City Schools,306,Isaac Dickson Elementary,, ,32.45
111,Asheville City Schools,312,Claxton Elementary,, ,36.44
111,Asheville City Schools,332,Ira B Jones Elementary,, ,38.14
111,Asheville City Schools,356,Asheville Middle,, ,35.24
111,Asheville City Schools,360,Vance Elementary,, ,36.02
111,Asheville City Schools,700,School of Inquiry & Life Science,, ,16.29
120,Burke County Schools,304,Chesterfield Elementary,X, ,59.3
120,Burke County Schools,308,Hallyburton Academy,X, ,49.12
120,Burke County Schools,310,Burke Middle College,, ,15.32
120,Burke County Schools,312,Drexel Elementary,X, ,44.47
120,Burke County Schools,314,East Burke High,, ,27.33
120,Burke County Schools,315,East Burke Middle,, ,34.19
120,Burke County Schools,316,Forest Hill Elementary,X, ,43.15
120,Burke County Schools,318,Freedom High,, ,26.75
120,Burke County Schools,320,George Hildebrand Elementary,X, ,44.92
120,Burke County Schools,324,Glen Alpine Elementary,X, ,50.11
120,Burke County Schools,334,Heritage Middle,, ,29.94
120,Burke County Schools,338,Hildebran Elementary,X, ,41.85
120,Burke County Schools,340,Hillcrest Elementary,X, ,54.87
120,Burke County Schools,344,Icard Elementary,X, ,44.91
120,Burke County Schools,346,Jimmy C. Draughn High School,, ,22.55
120,Burke County Schools,350,Liberty Middle,, ,25.14
120,Burke County Schools,352,North Liberty,X, ,40.2
120,Burke County Schools,360,Mull Elementary,X, ,43.65
120,Burke County Schools,364,Oak Hill Elementary,X, ,41.57
120,Burke County Schools,368,Ray Childers Elementary,X, ,41.76
120,Burke County Schools,370,Robert L. Patton High School,, ,21.94
120,Burke County Schools,372,Rutherford College Elem,, ,33.01
120,Burke County Schools,374,Salem Elementary,, ,34.23
120,Burke County Schools,376,Table Rock Middle,, ,38.58
120,Burke County Schools,380,Valdese Elementary,X, ,43.57
120,Burke County Schools,386,W A Young Elementary,X, ,41.76
120,Burke County Schools,390,Walter R Johnson Middle,X, ,40.68
130,Cabarrus County Schools,114,Mary Frances Wall,, ,24.95
130,Cabarrus County Schools,115,The Lockhart Early Learning Center,X, ,100
130,Cabarrus County Schools,150,Long Pre-School,X,X,85.4
130,Cabarrus County Schools,304,A T Allen Elementary,X, ,40.07
130,Cabarrus County Schools,307,Cox Mill High School,, ,7.43
130,Cabarrus County Schools,308,Bethel Elementary,, ,28.25
130,Cabarrus County Schools,309,Beverly Hills Elementary,X, ,43.14
130,Cabarrus County Schools,310,Central Cabarrus High,, ,24.7
130,Cabarrus County Schools,311,Coltrane Webb Magnet Elementary,, ,34.28
130,Cabarrus County Schools,312,Harrisburg Elementary,, ,6.56
130,Cabarrus County Schools,313,Concord Middle,X, ,51.98
130,Cabarrus County Schools,314,Concord High,, ,33.74
130,Cabarrus County Schools,315,JN Fries Magnet Middle,, ,10.27
130,Cabarrus County Schools,316,Jay M Robinson High,, ,27.18
130,Cabarrus County Schools,317,Opportunity School,X, ,55.36
130,Cabarrus County Schools,318,C C Griffin Middle,, ,34.23
130,Cabarrus County Schools,319,Cox Mill Elementary,, ,3.55
130,Cabarrus County Schools,320,Harris Road Middle,, ,7.26
130,Cabarrus County Schools,321,Carl A Furr Elementary,, ,28.95
130,Cabarrus County Schools,322,Mount Pleasant Elementary,, ,27
130,Cabarrus County Schools,323,Mount Pleasant Middle,, ,26.05
130,Cabarrus County Schools,324,Mount Pleasant High,, ,20.17
130,Cabarrus County Schools,325,Charles E. Boger Elementary,, ,21.96
130,Cabarrus County Schools,326,Northwest Cabarrus High,, ,24.67
130,Cabarrus County Schools,327,Northwest Cabarrus Middle,, ,30.59
130,Cabarrus County Schools,328,Royal Oaks Elementary,X,X,68.83
130,Cabarrus County Schools,329,Rocky River Elementary,X, ,45.7
130,Cabarrus County Schools,330,R B McAllister Elementary,, ,37.61
130,Cabarrus County Schools,331,Pitts School Road Elementary,, ,19.98
130,Cabarrus County Schools,332,Hickory Ridge High School,, ,6.69
130,Cabarrus County Schools,333,Performance Learning Center,, ,24.39
130,Cabarrus County Schools,336,W R Odell Elementary,, ,8.33
130,Cabarrus County Schools,337,Odell Intermediate School,, ,8.89
130,Cabarrus County Schools,338,Weddington Hills Elementary,X, ,40.41
130,Cabarrus County Schools,340,Winecoff Elementary,X, ,49.33
130,Cabarrus County Schools,342,W M Irvin Elementary,X, ,55.77
130,Cabarrus County Schools,344,Wolf Meadow Elementary,X,X,60.33
130,Cabarrus County Schools,345,Patriot's Elementary School,, ,15.42
130,Cabarrus County Schools,346,Hickory Ridge Middle School,, ,10.23
130,Cabarrus County Schools,349,Cabarrus Early College of Technology,, ,17.74
130,Cabarrus County Schools,350,Cabarrus-Kannapolis Early College High School,, ,17.87
130,Cabarrus County Schools,355,Winkler Middle School,, ,30.93
132,Kannapolis City Schools,240,McKnight Head Start,X,X,100
132,Kannapolis City Schools,304,A L Brown High,,X,39.88
132,Kannapolis City Schools,308,Forest Park Elementary,,X,39.29
132,Kannapolis City Schools,312,Fred L Wilson Elementary,X,X,53.52
132,Kannapolis City Schools,328,Jackson Park Elementary,X,X,43.88
132,Kannapolis City Schools,329,Kannapolis Interm,X,X,48.57
132,Kannapolis City Schools,330,Kannapolis Middle,X,X,45.87
132,Kannapolis City Schools,332,Shady Brook Elementary,X,X,50
132,Kannapolis City Schools,336,Woodrow Wilson Elementary,X,X,57.91
140,Caldwell County Schools,304,Baton Elementary,, ,39.86
140,Caldwell County Schools,305,Caldwell Co Career Ctr,, ,17.62
140,Caldwell County Schools,306,Caldwell Co Gateway Sch,X,X,56.82
140,Caldwell County Schools,307,Horizons Elementary,X,X,67.35
140,Caldwell County Schools,308,Collettsville School,, ,37.61
140,Caldwell County Schools,309,Caldwell County Early College,, ,16.92
140,Caldwell County Schools,312,Davenport Elementary,X, ,50.77
140,Caldwell County Schools,316,Dudley Shoals Elementary,X, ,40.37
140,Caldwell County Schools,324,Gamewell Elementary,X,X,47.27
140,Caldwell County Schools,332,Gamewell Middle,X, ,53.09
140,Caldwell County Schools,336,Granite Falls Middle,, ,29.46
140,Caldwell County Schools,340,Granite Falls Elementary,, ,31.44
140,Caldwell County Schools,344,Happy Valley Elementary,X, ,40.24
140,Caldwell County Schools,348,Hibriten High,, ,33.21
140,Caldwell County Schools,352,Hudson Elementary,, ,37.58
140,Caldwell County Schools,356,Hudson Middle,, ,29.44
140,Caldwell County Schools,360,Kings Creek Elementary,, ,35.94
140,Caldwell County Schools,368,William Lenoir Middle,X, ,41.64
140,Caldwell County Schools,372,Lower Creek Elementary,, ,32.69
140,Caldwell County Schools,376,Oak Hill Elementary,, ,37.21
140,Caldwell County Schools,384,Sawmills Elementary,X, ,41.08
140,Caldwell County Schools,386,South Caldwell High,, ,25.84
140,Caldwell County Schools,388,Valmead Basic,X,X,73.81
140,Caldwell County Schools,390,West Caldwell High,, ,39.43
140,Caldwell County Schools,392,West Lenoir Elementary,X,X,67.5
140,Caldwell County Schools,396,Whitnel Elementary,X,X,55.03
150,Camden County Schools,304,Camden County High,, ,13.93
150,Camden County Schools,308,Grandy Primary,, ,21.29
150,Camden County Schools,310,Camden Intermediate School,, ,20.61
150,Camden County Schools,312,Camden Middle,, ,17.83
150,Camden County Schools,350,Camden Early College High School,, ,14.57
160,Carteret County Public Schools,169,Carteret PreSchool Center,X, ,41.94
160,Carteret County Public Schools,304,Atlantic Elementary,, ,30.68
160,Carteret County Public Schools,306,Bogue Sound Elementary,, ,35.15
160,Carteret County Public Schools,308,Beaufort Elementary,X, ,49.39
160,Carteret County Public Schools,309,Bridges Learning Center,X, ,50
160,Carteret County Public Schools,310,Beaufort Middle,, ,37.68
160,Carteret County Public Schools,311,Broad Creek Middle,, ,18.03
160,Carteret County Public Schools,313,East Carteret High,, ,29.76
160,Carteret County Public Schools,314,Croatan High,, ,13.24
160,Carteret County Public Schools,316,Harkers Island Elementary,X, ,42.39
160,Carteret County Public Schools,317,Morehead Elem at Camp Glenn,, ,39.74
160,Carteret County Public Schools,318,Morehead City Middle,, ,28.77
160,Carteret County Public Schools,322,Morehead City Primary,X, ,42.63
160,Carteret County Public Schools,324,Newport Elementary,X, ,45.01
160,Carteret County Public Schools,326,Newport Middle,X, ,41.65
160,Carteret County Public Schools,332,Smyrna Elementary,, ,29.04
160,Carteret County Public Schools,344,West Carteret High,, ,25.15
160,Carteret County Public Schools,352,White Oak Elementary,, ,18.64
170,Caswell County Schools,316,Bartlett Yancey High,X, ,40.57
170,Caswell County Schools,334,North Elementary,X,X,58.7
170,Caswell County Schools,338,N L Dillard Middle,X, ,48.74
170,Caswell County Schools,339,Oakwood Elementary,X,X,62.33
170,Caswell County Schools,342,South Elementary,X,X,45.63
170,Caswell County Schools,344,Stoney Creek Elementary,X,X,58.55
180,Catawba County Schools,302,Harry M Arndt Middle,, ,30.56
180,Catawba County Schools,304,Balls Creek Elementary,, ,32.56
180,Catawba County Schools,308,Bandys High,, ,17.5
180,Catawba County Schools,312,Banoak Elementary,, ,36.52
180,Catawba County Schools,316,Blackburn Elementary,, ,29.76
180,Catawba County Schools,320,Bunker Hill High,, ,27.98
180,Catawba County Schools,323,Catawba Rosenwald Education Center,X, ,42.11
180,Catawba County Schools,324,Catawba Elementary,X, ,46.97
180,Catawba County Schools,325,Catawba Valley Early College High School,, ,19.13
180,Catawba County Schools,326,Charles H Tuttle Elementary,, ,28.48
180,Catawba County Schools,332,Claremont Elementary,X, ,44.1
180,Catawba County Schools,336,Clyde Campbell Elementary,, ,27.32
180,Catawba County Schools,340,Fred T Foard High,, ,20.92
180,Catawba County Schools,342,Jacobs Fork Middle,, ,24.34
180,Catawba County Schools,343,Lyle Creek Elementary,, ,33.59
180,Catawba County Schools,344,Maiden Elementary,X, ,43.9
180,Catawba County Schools,346,Maiden Middle,, ,24.45
180,Catawba County Schools,348,Maiden High,, ,19.98
180,Catawba County Schools,352,Mill Creek Middle,, ,20.05
180,Catawba County Schools,356,Mountain View Elementary,, ,26.49
180,Catawba County Schools,360,Oxford Elementary,X, ,44.81
180,Catawba County Schools,364,River Bend Middle,, ,34.75
180,Catawba County Schools,368,Sherrills Ford Elementary,, ,18.57
180,Catawba County Schools,372,Saint Stephens Elementary,X,X,55.08
180,Catawba County Schools,376,Saint Stephens High,, ,25
180,Catawba County Schools,379,Snow Creek Elementary,, ,29.2
180,Catawba County Schools,380,Startown Elementary,, ,32.28
180,Catawba County Schools,388,Webb A Murray Elementary,X, ,42.98
181,Hickory City Schools,312,Northview Middle,, ,35.36
181,Hickory City Schools,316,Grandview Middle,X, ,52.4
181,Hickory City Schools,318,Hickory Career and Arts Magnet,X,X,52.94
181,Hickory City Schools,322,Hickory High,, ,30.72
181,Hickory City Schools,326,W M Jenkins Elementary,, ,33.5
181,Hickory City Schools,332,Longview Elementary,X,X,70.59
181,Hickory City Schools,336,Oakwood Elementary,, ,37.47
181,Hickory City Schools,342,Southwest Elementary,X,X,46.03
181,Hickory City Schools,344,Viewmont Elementary,X, ,51.72
182,Newton Conover City Schools,304,Conover Special Education,, ,30.69
182,Newton Conover City Schools,316,Newton-Conover High,, ,31.9
182,Newton Conover City Schools,321,Newton-Conover Middle,, ,35.87
182,Newton Conover City Schools,322,Shuford Elementary,, ,35.85
182,Newton Conover City Schools,324,South Newton Elementary,X, ,55.13
182,Newton Conover City Schools,328,North Newton E. S.,X, ,51.58
182,Newton Conover City Schools,700,The Discovery High School at Newton Conover,, ,8.04
190,Chatham County Schools,304,Bennett Elementary,, ,30.26
190,Chatham County Schools,308,Bonlee Elementary,, ,33.44
190,Chatham County Schools,310,SAGE Academy,X, ,42.11
190,Chatham County Schools,312,Chatham Middle,X, ,47.62
190,Chatham County Schools,316,Chatham Central High,, ,26.25
190,Chatham County Schools,328,Horton Middle,, ,22.74
190,Chatham County Schools,332,J S Waters Elementary,, ,36.3
190,Chatham County Schools,336,Jordan Matthews High,X, ,40.05
190,Chatham County Schools,339,Margaret B. Pollard Middle School,, ,9.77
190,Chatham County Schools,340,Moncure Elementary,, ,27.12
190,Chatham County Schools,341,North Chatham Elementary,, ,22.24
190,Chatham County Schools,342,Northwood High,, ,14.65
190,Chatham County Schools,346,Perry W Harrison Elementary,, ,11.05
190,Chatham County Schools,348,Pittsboro Elementary,, ,26.23
190,Chatham County Schools,350,Siler City Elementary,X, ,46.7
190,Chatham County Schools,352,Silk Hope Elementary,, ,29.33
190,Chatham County Schools,370,Virginia Cross Elementary School,X, ,55.63
190,Chatham County Schools,501,Chatham School of Science & Engineering,, ,0
200,Cherokee County Schools,304,Andrews Elementary School,X,X,51.92
200,Cherokee County Schools,308,Andrews High,, ,39.3
200,Cherokee County Schools,310,Andrews Middle,X,X,43.09
200,Cherokee County Schools,312,Hiwassee Dam Elementary/Middle,X,X,42.41
200,Cherokee County Schools,314,Hiwassee Dam High,, ,34.44
200,Cherokee County Schools,316,Marble Elementary,X,X,42.74
200,Cherokee County Schools,320,Martins Creek Elementary/Mid,X,X,44.39
200,Cherokee County Schools,322,The Oaks Academy,X,X,86
200,Cherokee County Schools,324,Murphy Elementary School,X,X,45.23
200,Cherokee County Schools,328,Murphy High,, ,31.94
200,Cherokee County Schools,330,Murphy Middle,,X,36.51
200,Cherokee County Schools,332,Peachtree Elementary School,X,X,53.99
200,Cherokee County Schools,336,Ranger Elementary/Middle,X,X,50.16
200,Cherokee County Schools,350,Tri-County Early College High School,, ,24.49
210,Edenton/Chowan Schools,304,Chowan Middle,, ,37.5
210,Edenton/Chowan Schools,306,D F Walker Elementary,X, ,41.29
210,Edenton/Chowan Schools,312,John A Holmes High,, ,29.34
210,Edenton/Chowan Schools,316,White Oak Elementary,X, ,44.25
220,Clay County Schools,308,Hayesville Elementary,X, ,43.07
220,Clay County Schools,310,Hayesville High,, ,26.19
220,Clay County Schools,312,Hayesville Middle,, ,30.79
230,Cleveland County Schools,304,Bethware Elementary,X,X,55.74
230,Cleveland County Schools,308,Boiling Springs Elementary,X, ,48.51
230,Cleveland County Schools,312,Burns High,, ,35.83
230,Cleveland County Schools,316,Burns Middle,X, ,46.59
230,Cleveland County Schools,320,Casar Elem School,X,X,51.06
230,Cleveland County Schools,322,Cleveland Early College High School,, ,32.84
230,Cleveland County Schools,324,Crest High School,, ,34.95
230,Cleveland County Schools,328,Crest Mid Sch of Technology,X, ,42.35
230,Cleveland County Schools,330,Turning Point Academy,X,X,72.39
230,Cleveland County Schools,334,East Elementary,X,X,66.27
230,Cleveland County Schools,336,Shelby Intermediate School,X,X,53.75
230,Cleveland County Schools,340,Fallston Elementary,X,X,51.31
230,Cleveland County Schools,342,Graham Elementary,X,X,88.75
230,Cleveland County Schools,344,Grover Elementary,X,X,60.56
230,Cleveland County Schools,346,James Love Elementary,X,X,79.7
230,Cleveland County Schools,348,Jefferson Elementary,X,X,55.15
230,Cleveland County Schools,350,Kings Mountain High,, ,33.58
230,Cleveland County Schools,351,Kings Mountain Intermediate,X, ,48.38
230,Cleveland County Schools,352,Kings Mountain Middle,X, ,43.07
230,Cleveland County Schools,355,Marion Elementary School,X,X,63.74
230,Cleveland County Schools,357,North Elementary,X,X,68.65
230,Cleveland County Schools,359,North Shelby,X,X,50.47
230,Cleveland County Schools,361,Shelby High,X, ,45.69
230,Cleveland County Schools,362,Shelby Middle,X,X,50.89
230,Cleveland County Schools,364,Springmore Elementary,X, ,42.93
230,Cleveland County Schools,368,Township Three Elementary,X,X,66.92
230,Cleveland County Schools,370,Union Elementary,X,X,55.96
230,Cleveland County Schools,376,Washington Math and Science,X,X,67.46
230,Cleveland County Schools,380,West Elementary,, ,35.06
240,Columbus County Schools,304,Acme Delco Middle,X,X,62.22
240,Columbus County Schools,308,Acme Delco Elementary,X,X,64.24
240,Columbus County Schools,328,Cerro Gordo Elementary,X,X,64.27
240,Columbus County Schools,330,Chadbourn Middle,X,X,82.73
240,Columbus County Schools,332,Chadbourn Elementary,X,X,84.98
240,Columbus County Schools,334,East Columbus High,X,X,56.28
240,Columbus County Schools,344,Evergreen Elementary,X,X,73.06
240,Columbus County Schools,352,Guideway Elementary,X,X,73.08
240,Columbus County Schools,354,Hallsboro-Artesia Elem,X,X,72.15
240,Columbus County Schools,356,Hallsboro Middle,X,X,67.44
240,Columbus County Schools,368,Nakina Middle School,X,X,55.15
240,Columbus County Schools,370,Old Dock Elementary,X,X,52.07
240,Columbus County Schools,371,South Columbus High,X,X,47.16
240,Columbus County Schools,372,Tabor City Elementary,X,X,71.5
240,Columbus County Schools,373,Columbus Career and College Academy,X,X,47.76
240,Columbus County Schools,376,Tabor City Middle,X,X,68.72
240,Columbus County Schools,380,West Columbus High,X,X,66.81
240,Columbus County Schools,388,Williams Township Elementary,X,X,53.42
241,Whiteville City Schools,304,Central Middle,X,X,72.03
241,Whiteville City Schools,308,Edgewood Elementary,X,X,76.05
241,Whiteville City Schools,316,Whiteville High,X,X,55.95
241,Whiteville City Schools,320,Whiteville Primary,X,X,85.15
250,Craven County Schools,304,Albert H Bangert Elementary,, ,39.08
